* IJF Known Names
1. Mercy Abang: https://en.wikipedia.org/wiki/Mercy_Abang
2. Nazmul Ahasan: https://en.wikipedia.org/wiki/FRM_Nazmul_Ahasan
3. Tomiwa Aladekomo: https://en.wikipedia.org/wiki/Tomiwa_Aladekomo
4. Julia Angwin: https://en.wikipedia.org/wiki/Julia_Angwin
5. Ros Atkins: https://en.wikipedia.org/wiki/Ros_Atkins
6. Lina Attalah: https://en.wikipedia.org/wiki/Lina_Attalah
7. Charlie Beckett: https://en.wikipedia.org/wiki/Charlie_Beckett
8. Ed Bice: https://en.wikipedia.org/wiki/Bice
9. Jeremy Bowen: https://en.wikipedia.org/wiki/Jeremy_Bowen
10. Yael Braudo-Bahat: https://en.wikipedia.org/wiki/Yael_Braudo-Bahat
11. Meredith Broussard: https://en.wikipedia.org/wiki/Meredith_Broussard
12. David Campbell: https://en.wikipedia.org/wiki/David_Campbell
13. Samuel Chu: https://en.wikipedia.org/wiki/Samuel_Chu
14. Jesse Coburn: https://en.wikipedia.org/wiki/Jesse_Milton_Coburn
15. Matt Cooke: https://en.wikipedia.org/wiki/Matt_Cooke
16. John Crowley: https://en.wikipedia.org/wiki/John_Crowley_(director)
17. Mukul Devichand: https://en.wikipedia.org/wiki/Mukul_Devichand
18. Jin Ding: https://en.wikipedia.org/wiki/Duke_Ding_of_Jin
19. Yousra Elbagir: https://en.wikipedia.org/wiki/Yousra_Elbagir
20. Robert Elder: https://en.wikipedia.org/wiki/Robert_Elder
21. Anthony Feinstein: https://en.wikipedia.org/wiki/Anthony_Feinstein
22. Mary Fitzgerald: https://en.wikipedia.org/wiki/Mary_Fitzgerald
23. Carine Fouteau: https://en.wikipedia.org/wiki/Carine_Fouteau
24. Caoilfhionn Gallagher: https://en.wikipedia.org/wiki/Caoilfhionn_Gallagher
25. Manisha Ganguly: https://en.wikipedia.org/wiki/Manisha_Ganguly
26. Janine Gibson: https://en.wikipedia.org/wiki/Janine_Gibson
27. Mark Graham: https://en.wikipedia.org/wiki/Mark_Graham
28. Nataliya Gumenyuk: https://en.wikipedia.org/wiki/Nataliya_Gumenyuk
29. Frances Haugen: https://en.wikipedia.org/wiki/Frances_Haugen
30. Ron Haviv: https://en.wikipedia.org/wiki/Ron_Haviv
31. Jonathan Heawood: https://en.wikipedia.org/wiki/Jonathan_Heawood
32. Sophie Huet: https://en.wikipedia.org/wiki/Sophie_Huet
33. Nicole Jackson: https://en.wikipedia.org/wiki/Nicole_Jackson
34. Jameel Jaffer: https://en.wikipedia.org/wiki/Jameel_Jaffer
35. Michael Jensen: https://en.wikipedia.org/wiki/Michael_Jensen
36. Mitra Kalita: https://en.wikipedia.org/wiki/S._Mitra_Kalita
37. Jensen Michael: https://en.wikipedia.org/wiki/Michael_C._Jensen
38. Carine Kanimba: https://en.wikipedia.org/wiki/Carine_Kanimba
39. Anup Kaphle: https://en.wikipedia.org/wiki/Anup_Kaphle
